,reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
0,34fef766-b6ec-41bb-b844-eb48dd20a729,lim xiangqing,https://play-lh.googleusercontent.com/a/ACg8ocINKgZs7cjT7F7P7okaRXRH1KTAdzEZmP0V2JGKRPUZ=mo,cant logging using finger print . previously still able to use . so pissed off with the update .,1,0,2.23.0,11/3/2024 7:51,"Hi Xiangqing, we'd love to look into this for you. Could you please reach out to us via our 24/7 hotline at (+65) 3105 2055? We'll be more than happy to look into the matter.🙏",11/3/2024 8:52,2.23.0
1,666f0966-0c9f-4b1a-a37b-0ab7eefbf122,Matt Murati,https://play-lh.googleusercontent.com/a-/ALV-UjV5hGgOf1A1XOw3Kx_0XnqgCao_ypCmplTPdUuaDS2-odE,For 1st time registration signup by singpass and all info's needed but still my application is denied.,1,0,2.23.0,11/3/2024 6:02,"Hi Matt, thanks for reaching out! If you are referring to our GXS FlexiLoan, please be assured that all applications go through an evaluation process that is aligned with our internal requirements. This includes an assessment of your credit profile and eligibility. You may wish to re-apply for the FlexiLoan after 30 days. 🙏",11/3/2024 7:33,2.23.0
2,9669c871-cc07-4154-8bb8-a59dc51573d9,Jeremy Kuah,https://play-lh.googleusercontent.com/a-/ALV-UjU24AWxoQpjt6s5R3Gn9JT960QKQoufUnzhdfPqKuvAEUE,"Updated - Kindly ignore my previous rating, and I have amended my rating. My son did a Giro to link his Grab Account to GXS but neglected to inform us of the transaction.",4,0,,10/3/2024 11:28,"Hi Jeremy, could you share more details on the issue you faced please? 👀 We'd love to help, but we recommend giving our hotline a call at (+65) 3105 2055 for the best assistance. 🙏",10/3/2024 9:27,
3,fbd1073e-5677-40b3-8959-89ef7663a82a,Nurhartini Nurhartini,https://play-lh.googleusercontent.com/a-/ALV-UjUc2Ab1PDUvhtY1m0LWZVzm713gKHfhWwO2uXoi1c4Y1fw,They unable to process my application. 4x attempt,1,0,2.23.0,9/3/2024 10:29,"Hi Nurhartini, we'd love to check on this for you. Could you please reach out to us via our 24/7 hotline at (+65) 3105 2055? We'll be more than happy to look into the matter.🙏",9/3/2024 10:48,2.23.0
4,de27526e-6508-4a55-a6b0-5e56c38cf1b4,AK Ong,https://play-lh.googleusercontent.com/a/ACg8ocKVzlKmFx2RP3MQAiJu_iIs0mnKqCftQtJ02F5CcvQk=mo,Try logging in after logging out completely. Cannot see Singpass QR at all. How to log in again? Something wrong with new updates?,1,0,2.24.0,8/3/2024 20:39,"Hi AK Ong. We're sorry to hear that you are having issues accessing your account, and we would love to sort this out for you. Please get in touch with us at help@gxs.com.sg with a screenshot of the error along with your contact details, or call us at (+65) 3105 2055. We’ll be happy to help. Thank you. 🙏",8/3/2024 21:21,2.24.0
5,905158fa-9508-42c9-bb57-6156e76b8851,Vince Chew,https://play-lh.googleusercontent.com/a/ACg8ocJRw7umLPQB3DfxpmEVD7wyNpCRco9ia56APiMsJKGJ=mo,Fingerprint login no longer work since 2 months back.. all other bank apps doesn't have such issues.,2,0,2.23.0,7/3/2024 8:40,"Hi Vince. We're sorry to hear this and would love to sort this issue for you. Please get in touch with us at help@gxs.com.sg with a screenshot of the error, along with your contact details. Or call us at (+65) 3105 2055. We’ll be happy to help. Thank you.🙏",7/3/2024 10:45,2.23.0
6,89177467-1434-4afa-afbc-48dffec0a567,Anna Y,https://play-lh.googleusercontent.com/a/ACg8ocIkF1mL-zaV31FTUI_3apT_P5p2Y7RbCbfxOEVQsRNz=mo,"Love the function of having multiple pockets as it helps me to track each target accordingly. Thank you for the genius allocation! Would have given 4.5 if there was, with the 0.5 hoping for unlimited numbers of pockets. :"")",4,0,,6/3/2024 12:14,"Hi Anna. We're over the moon to hear your positive feedback about our GXS Savings Account, specifically the Saving Pockets! It's always fantastic to know we're hitting the mark. We're constantly working on improving our services and your feedback is a valuable part of that process. Thank you for your support! 😊💜",6/3/2024 12:47,
7,e117eb07-7549-43e6-8318-55ce1fcfe694,Jia Hong,https://play-lh.googleusercontent.com/a/ACg8ocKR4jQqTEI6_ZXc_EBajrYy_A3yiVeA2QkBan4Wwy9C=mo,Quick transfers to bank acc and fast repayments. Very suitable for short term loans,5,0,2.23.0,6/3/2024 9:39,"Hi Jia Hong! We are happy that you like our app! This 5-star review made our day! 💜 We are thrilled to hear that you find our app easy to use and that you like the short-term loan feature! We're constantly working on new and exciting features, and we can't wait for you to try them out in the future.😍🚀",6/3/2024 10:30,2.23.0
8,6caa76db-0b0e-4e9a-ab66-45a5c6935d2a,E,https://play-lh.googleusercontent.com/a-/ALV-UjV312qsEVfLUw83KzY4mM-xthsOvkqvEW-CcX--CRVefOjt,"A feature they should implement is to save your recipients which you FAST to, makes it a lot safer as it prevents mistaken sending of funds to unintended recipients after the 1st transfer.",3,12,2.23.0,4/3/2024 12:23,"Hi EE, that's a fantastic suggestion and it's been captured as part of future enhancements! 🙌 We have been busy working on new and exciting stuff, and we can't wait for you to try them out in the future. 🚀",4/3/2024 13:00,2.23.0
9,36d50466-6d61-49a5-b64c-a30a15871877,Baggio Pan,https://play-lh.googleusercontent.com/a/ACg8ocJcZ8gGDNFG_90hSnlYwI0wTLa-LggDmxkGlonlEyhY=mo,Ok Good system.,5,0,2.23.0,1/3/2024 17:52,Hi Baggio! Thank you for your 5-star review. 💜 We are thrilled to know that you like the app. 😍,1/3/2024 20:01,2.23.0
